Words,Word_Counts
Access,16.56375531161863
Accountability,8.651919227840532
Administration,41.155200429546674
Administrator,64.1304033280831
Advisory,17.600867629039875
Affairs,40.446558483716686
Agency,24.900319688562956
Agriculture,20.496470404521236
America,16.551340271348547
American,25.174420513379232
Americans,12.668632740996618
Appropriations,19.7468229375433
April,8.130623460549888
Armed,28.442215201012967
Assistance,21.04817580970142
Assistant,17.719188487034188
Attorney,35.309733574722834
B,13.965473662033663
Board,25.49023801501289
Budget,19.16687795318058
Bureau,25.340127510989976
Business,22.62627440933869
C,12.026227315229656
Care,17.48718134859457
Center,22.42308249118034
Centers,17.261451484182093
Chief,12.660154455442754
Civil,8.728519944819961
Columbia,15.172345618950883
Commerce,22.316026630596596
Commission,80.29158502436891
Commissioner,12.744313055060397
Committee,82.40570848014755
Community,14.296767274753625
Comptroller,13.142499080300993
Congress,59.45628059192364
Control,28.057237084033645
Council,23.944765992077297
D,7.802302931547477
December,34.07086777987086
Defense,46.26516844617586
Department,72.66864087989173
Determination,6.295037315890616
Development,23.55848891699181
Director,62.14866803611992
Disease,17.538441878959997
District,17.671889533680936
Drug,25.72503102025782
Economic,13.326927631638602
Education,38.16623457191935
Emergency,22.711677473163117
Energy,27.632076724715276
Environmental,14.288158769772984
Executive,16.329920635908486
F,9.525610717717669
Financial,11.02208043182928
Food,26.708727638184698
Forces,23.434120064898718
Foreign,25.811532448366393
Fund,35.83925106257659
General,53.03103287742211
Government,44.45300783409977
Health,71.90573865903262
Higher,14.914716475060949
Homeland,37.58842970386403
House,38.39924347661682
Housing,19.009647823958108
Human,30.136872590413986
II,20.929036326195494
III,15.424410389084807
IV,14.755553749189497
Immigration,30.390913379689852
Improvement,11.77186271867457
Indian,24.80000198897145
Information,10.093353572029923
Infrastructure,12.20765652880975
Innovation,8.923393208251257
Institute,17.12294290687768
Interior,16.871272788831682
Internal,50.76162093591446
International,20.277697762317874
January,30.879707419341642
July,12.737350204603361
June,16.760649175296574
